player_id,player_name,age,league,value,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won
dcb6f03c,Bence Dárdai,,Bundesliga,12000000,0.07,0.07,0.14,0.07,0.00,0.00,0.00,0.00,0.07,0.07,0.07,0.14,0.35,2.69,1.66,0.76,0.07,9.1%,0.09,1.00,14.80,0.00,0.10,0.00,0.00,24.64,30.71,80.2%,366.97,96.56,13.67,15.18,90.0%,8.90,10.70,83.2%,1.17,2.42,48.6%,0.07,0.76,2.42,0.62,0.14,29.40,1.24,0.69,0.07,0.07,0.69,0.21,0.07,0.07,0.00,0.00,0.07,1.10,1.66,1.17,0.00,0.00,0.28,0.21,0.00,0.14,0.07,0.00,0.00,0.00,0.07,0.00,1.66,0.97,0.62,0.90,0.14,1.10,2.07,53.3%,0.97,1.38,0.28,0.83,2.48,1.93,0.07,41.07,1.73,9.94,21.67,9.46,1.24,41.07,0.83,0.21,25.0%,0.35,41.7%,19.81,70.19,26.37,0.41,0.00,1.24,0.76,23.26,0.00,0.62,1.10,0.00,0.07,0.00,0.00,3.59,0.69,1.04,40.0%
9d00bcd3,Jochem Ritmeester van de Kamp,,Keuken Kampioen Divisie,800000,0.00,0.05,0.05,0.00,0.00,0.00,0.22,0.00,0.05,0.05,0.05,0.09,0.76,3.24,2.07,0.67,0.09,13.3%,0.00,0.00,20.60,0.00,0.07,-0.05,-0.05,28.02,34.90,80.3%,476.36,88.97,13.04,15.43,84.5%,11.42,13.85,82.5%,2.74,3.42,80.3%,0.08,0.85,2.29,0.81,0.09,32.97,1.93,0.40,0.00,0.00,0.36,0.18,0.00,0.00,0.00,0.00,0.00,0.85,2.11,1.48,0.05,0.09,0.09,0.18,0.22,0.05,0.05,0.00,0.00,0.00,0.00,0.00,2.29,1.30,0.72,1.30,0.27,0.90,1.53,58.8%,0.63,1.12,0.27,1.44,3.73,1.80,0.00,45.88,1.71,10.21,24.69,11.24,1.26,45.88,1.39,0.76,54.8%,0.40,29.0%,18.89,86.58,36.30,0.63,0.22,0.85,0.67,22.53,0.00,1.08,1.17,0.09,0.00,0.00,0.05,4.45,1.08,1.62,40.0%
3cb6f224,Michael Nicolás Santos Rosadilla,,Torneo Clausura,800000,0.34,0.00,0.34,0.34,0.00,0.22,0.00,0.00,0.46,0.26,0.04,0.30,1.23,1.23,8.98,3.25,1.23,37.9%,0.10,0.27,16.60,0.22,0.08,-0.12,+0.08,9.54,19.53,48.9%,130.96,28.17,5.50,9.43,58.3%,3.14,6.06,51.9%,0.22,1.35,16.7%,0.04,0.34,1.01,0.56,0.11,17.62,1.80,0.00,0.00,0.00,1.91,0.00,0.00,0.00,0.00,0.00,0.11,0.45,1.57,0.56,0.00,0.11,0.45,0.34,0.11,0.22,0.00,0.00,0.00,0.11,0.11,0.00,0.45,0.22,0.11,0.22,0.11,0.11,1.01,11.1%,0.90,0.56,0.11,0.22,0.67,0.67,0.00,30.86,1.23,1.91,12.46,16.95,6.96,30.64,1.35,0.56,41.7%,0.79,58.3%,15.71,72.38,27.72,1.01,0.79,3.37,1.35,22.11,0.00,0.67,1.35,1.46,0.11,0.00,0.11,2.02,2.81,4.38,39.1%
dc62b55d,Matheus Cunha,,Premier League,60000000,0.52,0.21,0.73,0.52,0.00,0.00,0.14,0.00,0.30,0.30,0.27,0.57,3.88,4.99,5.58,3.81,1.52,40.0%,0.14,0.34,20.50,0.42,0.08,+0.22,+0.22,28.11,39.26,71.6%,445.32,151.93,15.94,18.68,85.3%,7.90,10.40,76.0%,3.02,6.83,44.2%,0.18,1.94,3.19,2.01,0.35,32.51,6.41,1.80,0.49,0.52,4.92,1.11,2.53,1.39,0.80,0.10,0.35,0.69,4.57,2.60,0.49,0.66,0.31,0.42,0.10,0.55,0.35,0.00,0.14,0.00,0.03,0.03,1.32,0.76,0.59,0.55,0.17,0.45,1.35,33.3%,0.90,0.73,0.03,0.59,1.91,0.80,0.00,54.10,0.80,6.27,24.09,25.40,4.61,54.06,4.75,2.11,44.5%,2.11,44.5%,31.33,233.02,115.61,3.29,1.42,2.77,1.91,36.60,0.00,1.46,2.46,0.28,0.00,0.03,0.00,4.33,0.45,1.01,31.0%
f86cd5df,Aster Vranckx,,Bundesliga,7000000,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.81,3.24,0.97,0.00,0.00,,,,,0.00,,0.00,0.00,26.87,32.70,82.2%,444.66,125.13,13.60,15.05,90.3%,10.52,11.82,89.0%,1.94,2.91,66.7%,0.06,0.16,2.59,0.32,0.00,31.89,0.65,0.32,0.16,0.32,0.49,0.00,0.00,0.00,0.00,0.00,0.16,1.78,0.97,0.81,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.00,0.00,0.00,0.00,0.00,1.78,0.97,0.49,1.30,0.00,0.49,1.46,33.3%,0.97,2.27,0.49,1.62,3.40,2.10,0.00,44.68,4.86,15.22,24.12,5.99,0.65,44.68,0.97,0.81,83.3%,0.16,16.7%,19.91,78.83,33.35,0.32,0.00,2.10,0.81,23.31,0.00,1.94,1.78,0.00,0.00,0.00,0.00,3.56,1.13,2.27,33.3%
9b398aea,Rayan Aït-Nouri,,Premier League,35000000,0.12,0.20,0.32,0.12,0.00,0.00,0.20,0.03,0.08,0.08,0.16,0.24,2.58,3.13,5.09,1.04,0.29,27.8%,0.11,0.40,14.90,0.00,0.08,+0.04,+0.04,41.95,49.82,84.2%,574.25,171.55,25.97,27.76,93.5%,12.59,14.45,87.2%,1.39,3.42,40.7%,0.12,1.33,2.23,0.87,0.29,40.44,9.26,1.27,0.09,0.12,2.72,7.12,0.87,0.69,0.03,0.00,0.12,1.04,2.63,1.62,0.43,0.23,0.20,0.12,0.03,0.35,0.29,0.03,0.00,0.00,0.00,0.03,2.58,1.65,1.51,0.81,0.26,1.24,2.03,61.4%,0.78,1.22,0.17,0.75,3.33,2.17,0.06,62.18,2.78,16.70,26.52,19.83,2.78,62.18,3.97,1.82,46.0%,1.62,40.9%,32.68,178.49,92.78,1.79,0.81,1.51,1.36,38.24,0.03,0.87,1.33,0.17,0.00,0.00,0.00,4.20,0.64,0.87,42.3%
691d6a54,Iván Márquez Álvarez,,Eredivisie,600000,0.08,0.00,0.08,0.08,0.00,0.00,0.16,0.00,0.04,0.04,0.01,0.05,0.41,2.24,0.33,0.49,0.12,25.0%,0.17,0.67,12.90,0.00,0.08,+0.04,+0.04,50.09,58.07,86.3%,963.33,330.35,15.27,17.02,89.7%,30.54,33.56,91.0%,3.91,6.48,60.4%,0.06,0.08,2.24,0.12,0.00,54.81,3.22,1.59,0.04,0.08,0.04,0.24,0.00,0.00,0.00,0.00,0.04,0.53,0.98,0.81,0.00,0.00,0.16,0.00,0.00,0.08,0.08,0.00,0.00,0.00,0.00,0.00,1.10,0.61,0.73,0.33,0.04,0.73,1.02,72.0%,0.29,1.30,0.77,1.18,2.28,5.74,0.04,69.39,9.90,36.81,30.38,2.57,0.98,69.39,0.24,0.16,66.7%,0.04,16.7%,37.18,162.86,83.28,0.20,0.04,0.45,0.16,45.77,0.00,1.10,0.57,0.04,0.00,0.04,0.04,2.08,3.18,2.04,60.9%
ca618d23,Lucas Höler,,Bundesliga,3000000,0.29,0.19,0.48,0.29,0.00,0.05,0.14,0.00,0.37,0.33,0.14,0.47,1.01,2.27,5.88,1.64,0.82,50.0%,0.18,0.35,10.80,0.00,0.21,-0.08,-0.04,18.80,28.68,65.5%,232.40,46.13,11.67,16.10,72.5%,4.87,7.42,65.6%,0.34,0.72,46.7%,0.08,1.06,1.64,0.43,0.05,27.81,0.77,0.05,0.05,0.05,0.67,0.14,0.00,0.00,0.00,0.00,0.10,1.06,2.46,1.78,0.05,0.10,0.34,0.19,0.00,0.29,0.14,0.00,0.05,0.05,0.05,0.00,1.78,1.16,0.87,0.72,0.19,0.43,1.16,37.5%,0.72,1.40,0.34,0.34,2.12,1.74,0.00,41.17,1.93,6.36,18.41,16.97,4.29,41.12,1.64,0.87,52.9%,0.63,38.2%,19.04,76.79,32.44,0.58,0.34,2.51,1.16,27.53,0.00,1.45,1.45,0.39,0.00,0.00,0.00,3.28,3.86,2.94,56.7%
ecce7383,Vinícius Lopes da Silva,,Liga Portugal,2500000,0.32,0.04,0.36,0.32,0.00,0.04,0.32,0.00,0.35,0.31,0.11,0.43,1.77,2.17,4.14,2.17,0.72,33.3%,0.15,0.44,18.10,0.00,0.14,-0.02,+0.01,12.27,18.02,68.1%,162.06,49.37,7.97,10.06,79.2%,3.18,4.79,66.4%,0.40,0.89,45.5%,0.11,0.80,1.25,0.68,0.04,17.46,0.48,0.08,0.16,0.04,1.01,0.04,0.00,0.00,0.00,0.00,0.08,1.33,2.33,1.41,0.00,0.40,0.20,0.20,0.12,0.04,0.04,0.00,0.00,0.00,0.00,0.00,1.81,0.97,0.72,0.84,0.24,0.84,1.73,48.8%,0.89,1.45,0.12,0.48,2.29,1.09,0.00,30.82,1.05,4.75,13.00,13.88,3.14,30.78,2.98,1.45,48.6%,1.41,47.3%,15.29,92.94,50.09,1.25,0.52,2.41,1.33,16.86,0.00,1.77,1.33,0.32,0.00,0.00,0.00,3.86,1.65,2.29,41.8%
b1cbc666,Everton Sousa Soares,,Campeonato Brasileiro Série A,8000000,0.12,0.12,0.24,0.12,0.00,0.00,0.00,0.00,0.22,0.22,0.06,0.28,3.72,3.36,10.20,2.64,0.60,22.7%,0.05,0.20,22.20,0.00,0.09,-0.10,-0.10,26.04,34.20,76.1%,388.80,77.28,15.12,17.76,85.1%,8.52,11.04,77.2%,1.44,2.64,54.5%,0.11,0.72,1.92,0.84,0.24,32.04,2.16,0.48,0.12,0.12,2.40,0.84,0.72,0.48,0.12,0.00,0.00,0.84,2.04,1.08,0.12,0.60,0.12,0.00,0.12,0.24,0.24,0.00,0.00,0.00,0.00,0.00,1.44,1.08,0.48,0.72,0.24,0.72,1.80,40.0%,1.08,0.84,0.00,0.48,1.92,0.36,0.00,48.36,0.48,3.72,15.24,30.36,4.08,48.36,5.28,1.56,29.5%,3.60,68.2%,30.00,200.52,104.76,2.88,1.08,1.92,1.80,35.16,0.00,1.08,0.36,0.12,0.00,0.00,0.00,3.24,0.72,1.08,40.0%
